Beispiel,Kennzeichen
 Dachabdeckung Sockelbrett,NE
Wandeckenauskleidung,NE
"Objekt zur Bereitstellung wahrnehmbarer
Informationen",P
Präsentierobjekt,P
"Präsentierobjekt in sichtbarer Form diskreter
Zustände",PF
Sichtbare Zustandsanzeige,PF
Stellungsanzeiger,PF
 Signallampe,PF
 Ampel,PF
"Präsentierobjekt in sichtbarer Form einer
einzelnen Skalarvariablen",PG
Skalaranzeige,PG
Amperemeter,PG
 Winkelanzeige,PG
 Audiospektrometer,PG
 Barometer,PG
Taktgeber,PG
 Konzentrationsanzeige,PG
 Cos-phi-Meter,PG
 Dichteanzei-ge,PG
 Maßanzeige,PG
 Elektromagnetwellenanzeige,PG
 Energiezähler,PG
Feldindikator,PG
 Durchflusszähler,PG
 Kraftanzeige,PG
 Frequenzmess-gerät,PG
 Feuchteanzeige,PG
 Hygrometer,PG
 Füllstandsanzeige,PG
 Mano-meter,PG
 Positionsanzeige,PG
 Druckanzeige,PG
 Mengenmessgerät,PG
Widerstandsanzeige,PG
 Schauglas,PG
 Temperaturanzeige,PG
 Blind-verbrauchszähler,PG
 Blindleistungsmessgerät,PG
 Voltmeter,PG
 Watt-stundenzähler,PG
 Wattmeter,PG
"Präsentierobjekt in sichtbarer Form durch
Bilder, Symbole, Text oder physikalische
Eigenschaften",PH
Grafische Anzeige,PH
Tafel,PH
 Bildschirm,PH
 Zeichnung,PH
 Markierungsstelle,PH
 Drucker,PH
Projektor,PH
 Referenzpunkt,PH
 Schild,PH
 Verkehrszeichen,PH
 Whiteboard,PH
Präsentationsobjekt in hörbarer Form,PJ
Akustisches Gerät,PJ
Glocke,PJ
 Hupe,PJ
 Lautsprecher,PJ
Präsentationsobjekt in taktiler Form,PK
Taktiles Gerät,PK
Braille-Zeichen,PK
 Warnung zu lichter Höhe,PK
 Straßenrillen,PK
 Rüttler,PK
Präsentationsobjekt in Ornamentform,PL
Ornamentobjekt,PL
Teppich,PL
 Sims,PL
 Figur,PL
 Fries,PL
 Bild,PL
 Pilaster,PL
 Stuck,PL
Präsentationsobjekt in mehreren Formen,PZ
Mehrfachpräsentierobjekt,PZ
Audiovisueller Alarm,PZ
 Fernsehgerät,PZ
"Objekt zur Steuerung von Zugang oder
Durchfluss",Q
Steuerungsobjekt,Q
"Steuerobjekt für elektrischen Strom in einem
Schaltkreis",QA
Stromsteuerungsobjekt,QA
Schütz,QA
 Leistungsschalter,QA
 Defibrillator,QA
 elektronischerLeistungsschalter,QA
 Motoranlasser,QA
 Solid-State-Leistungs-transistor,QA
 Thyristor,QA
 Röhrenleistungstransistor,QA
"Steuerobjekt durch Trennen elektrischer
Stromkreise",QB
Elektrisches Trennobjekt,QB
Trennschalter,QB
 Sicherungstrennschalter,QB
 gesicherter Trenn-schalter,QB
 sicherungsloser Trennschalter,QB
 Lasttrennschalter,QB
Sicherungslasttrennschalter,QB
"Steuerobjekt durch Erdung elektrischer
Stromkreise",QC
Elektrisches Erdungsobjekt,QC
Erdungsschalter,QC
"Steuerobjekt zum Aktivieren/Deaktivieren
von Flüssigkeiten in verschlossenen
Umschließungen",QM
"Schaltobjekt für
eingeschlossene Flüssigkeiten",QM
Ablaufhahn,QM
 Wasserhahn,QM
 Gassperrventil,QM
 Flüssigkeitsab-sperrventil,QM
 Ein-Aus-Klappe,QM
 Stopfen,QM
"Steuerobjekt zum Variieren des
Flüssigkeitsstroms in verschlossenen
Umschließungen",QN
"Variierobjekt für
eingeschlossene Flüssigkeiten",QN
Regelklappe,QN
 Gasregelventil,QN
 Flüssigkeitsregelventil,QN
"Steuerobjekt für Flüssigkeiten in offener
Umgebung",QP
Steuerobjekt für offenen Fluss,QP
Dammplatte,QP
 Flüssigkeitsdurchgang,QP
 Schleusentor,QP
 Stringer,QP
Stopfen,QP
 Ruder,QP
 Grenzschichtzaun Tragflügel,QP
 Turbulator,QP
Wirbelerzeuger,QP
Steuerobjekt für einen Raum,QQ
Raumzugangsobjekt,QQ
Tür,QQ
 Notluke,QQ
 Tor,QQ
 Luke,QQ
 große Tür,QQ
 Riegel zum Öffnen,QQ
Vorlegerblock,QQ
 Fenster,QQ
 Fenstereinheit,QQ
Steuerobjekt für feste Substanzen,QR
"Variierobjekt für feste
Substanzen",QR
Dosierer,QR
 Klappenventil,QR
 Irisventil,QR
 Luftschleusen-Drehventil,QR
Steuerobjekt für mechanische Bewegung,QS
"Objekt zur Steuerung
mechanischer Bewegungen",QS
Verriegelung,QS
 Schloss,QS
 Eisenbahnweiche,QS
 Schienenweiche,QS
"Steuerobjekt in elektrischen Kreisen durch
Verwenden verschiedener Maßnahmen",QZ
Mehrfachsteuerobjekt,QZ
Erdungs- und Trennschalter,QZ
Objekt zur Begrenzung oder Stabilisierung,R
Begrenzungsobjekt,R
"Begrenzungsobjekt durch Einschränken des
elektrischen Energieflusses",RA
Elektrizitätsbegrenzungsobjekt,RA
Diode,RA
 Begrenzer,RA
 Reaktor,RA
 Widerstand,RA
 Serienreaktor,RA
"Begrenzungsobjekt durch Stabilisation eines
elektrischen Energieflusses",RB
Elektrizitätsstabilisierungsobjekt,RB
Phasenkompensator,RB
 Leistungausgleicher,RB
 Leistungsfaktorkor-rektursystem,RB
 Leistungsfaktorkorrektureinheit,RB
 Leistungsfilter,RB
unterbrechungsfreie Stromversorgung,RB
 USV,RB
 Spannungskom-pensator,RB
"Begrenzungsobjekt zur Stabilisierung eines
Signals",RF
Signalstabilisierungsobjekt,RF
Ferrit,RF
 Signalausgleicher,RF
 Signalfilter,RF
"Begrenzungsobjekt zur Begrenzung von
Bewegung",RL
Bewegungsbegrenzungsobjekt,RL
Bremse,RL
 Türkette,RL
 Ankerschiene,RL
 Gummitülle,RL
 Sicherheitskette,RL
Stoßdämpfer,RL
 Bodenschwelle,RL
"Begrenzungsobjekt zur Begrenzung des
Rückflusses von Stoffen",RM
Rückflussbegrenzungsobjekt,RM
Klappe,RM
 Drosselklappe,RM
 Rückschlagventil,RM
 Geruchsverschluss,RM
"Begrenzungsobjekt zur Begrenzung des
geführten Rückflusses von Stoffen",RN
Durchflussbegrenzer,RN
Einstellbare Düse,RN
 Lufteinlass,RN
 Luftauslass,RN
 Diffusor,RN
 Absperr-hahn,RN
 feste Düse,RN
 Messblende,RN
 Regelklappe,RN
 Regelventil,RN
Dusche,RN
 Duschkopf,RN
 Regelventil für Feststoffe,RN
 Lüftungseinlass,RN
Lüftungsauslass,RN
Begrenzungsobjekt für die lokale Umgebung,RQ
"Lokales
Klimastabilisierungsobjekt",RQ
Ausmauerung,RQ
 Klimamembran,RQ
 Vorhang,RQ
 Isolierung,RQ
 Jalousien,RQ
Membran,RQ
 Lärmschutzwand,RQ
 Lärmschutz,RQ
 Blende,RQ
 Sichtschutz-wand,RQ
 Rollladen,RQ
 Schallwand,RQ
 Unkrautbekämpfungsvlies,RQ
Begrenzungsobjekt zur Zutrittsbegrenzung,RU
Zutrittsbegrenzungsobjekt,RU
Riegel,RU
 Vogelnetz,RU
 Absperrpfosten,RU
 Zutrittsverwaltungsgerät,RU
Zaun,RU
 Torvorrichtung,RU
 Einwege-Tür,RU
 Nagerschutz,RU
 Rattenschutz-gerät,RU
 Viehschutz,RU
 Ticket-Durchgang,RU
"Objekt zum Erkennen einer menschlichen
Handlung und Bereitstellung einer
geeigneten Reaktion",S
"Objekt zur menschlichen
Interaktion",S
"Objekt zur menschlichen Interaktion durch
Fokussieren mit dem Auge",SF
Gesichtsinteraktionsobjekt,SF
Augenbetätigung für Positionierungsvorgänge,SF
 Augenfokus-Lesegerät,SF
"Objekt zur menschlichen Interaktion durch
Handbetätigung",SG
Handinteraktionsobjekt,SG
Aktivierungsgerät mit 2 oder 3 Stellungen,SG
 Notseilzug,SG
 Notfall-knopf,SG
 Handgriff,SG
 Schlüssel,SG
 Schlüsselschalter,SG
 Hebelgriff,SG
mechanischer Hebel,SG
 Potentiometer,SG
 Zughebel,SG
 Druckhebel,SG
Drehschalter,SG
 Drehhebel,SG
 Zweihandsteuerung,SG
"Objekt zur menschlichen Interaktion durch
Fußbetätigung",SH
Fußinteraktionsobjekt,SH
Aktivierungsgerät mit 2 oder 3 Stellungen,SH
 Pedalschalter,SH
"Objekt zur menschlichen Interaktion durch
Fingerbetätigung",SJ
Fingerinteraktionsobjekt,SJ
Schalter mit zwei Stellungen,SJ
 Kippschalter,SJ
 Niederhalter,SJ
 Tasta-tur,SJ
 Druckknopf,SJ
 Druckschalter,SJ
 Druckbetätiger,SJ
 Touchpad,SJ
Drehrad,SJ
"Objekt zur menschlichen Interaktion durch
Bewegen oder Positionieren",SK
Bewegungsinteraktionsobjekt,SK
Joystick,SK
 Maus,SK
 Lichtstift,SK
 Kugelmaus,SK
"Objekt zur menschlichen Interaktion durch
mehrere, verschiedenartige Interaktions-mittel",SZ
Mehrfachinteraktionsgerät,SZ
Gamepad,SZ
 Gamecontroller,SZ
 Joypad,SZ
 Bedienfeld,SZ
Objekt zum Transformieren,T
Transformierobjekt,T
"Transformierobjekt für elektrische Energie
bei Beibehaltung von Wechsel- oder
Gleichstrom",TA
Stromtransformierendes Objekt,TA
Gleichstrom/Gleichstrom-Wandler,TA
 Frequenzwandler,TA
 Trenn-transformator,TA
 Phasenschieber,TA
 Kraftantrieb,TA
 Transformator,TA
"Transformierobjekt für elektrische Energie
mit Änderung zwischen Wechsel- und
Gleichstrom",TB
Stromkonvertierungsobjekt,TB
Bidirektionaler Wandler,TB
 Wandler,TB
 Stromversorgung,TB
 Strom-richter,TB
"Transformierobjekt für elektrische Energie
von Wechsel- und Gleichstrom zu Wechsel-oder Gleichstrom",TC
Universelle Stromversorgung,TC
Stromversorgung,TC
 universelle Wechselstromversorgung,TC
universelle Gleichstromversorgung,TC
Transformierobjekt für Signale,TF
Signalkonvertierungsobjekt,TF
Antenne,TF
 Verstärker,TF
 Handy,TF
 induktive Signalantenne,TF
 IR-Diode,TF
IR-Sender,TF
 Mobiltelefon,TF
 optischer Empfänger/Messwertgeber,TF
Optokoppler,TF
 Oszillator,TF
 Telefon,TF
 RF-Signalantenne,TF
 Signal-antenne,TF
 Signalwandler,TF
 Umformer,TF
Transformierobjekt für mechanische Energie,TL
"Objekt zum Transformieren
von mechanischer Energie",TL
Automatikgetriebe,TL
 Regelkupplung,TL
 Schaltgetriebe,TL
 Getriebe,TL
Hebel,TL
 Drehzahlwandler,TL
 Drehmomentwandler,TL
"Transformierobjekt für Materie durch
Massereduktion",TM
Massereduktionsobjekt,TM
Bohrmaschine,TM
 Bohrer,TM
 Elektronenentladungs-Sägemaschine,TM
Ätzmaschine,TM
 Gasschneidemaschine,TM
 Schleifmaschine,TM
chemisches Eintauchgerät,TM
 Plasmabogen-Schneidemaschine,TM
Stanzmaschine,TM
 Säge,TM
 chemisches Sprühgerät,TM
 thermischeTrennvorrichtung,TM
 Drehmaschine,TM
"Transformierobjekt für Materie durch
Formänderung",TP
Materieumformungsobjekt,TP
Biegemaschine,TP
 Kaltschmiedemaschine,TP
 Rändelmaschine,TP
elektrohydraulische Umformmaschine,TP
 elektromagnetischeUmformmaschine,TP
 Explosionsumformmaschine,TP
 Extruder,TP
Schmiedemaschine,TP
 Heißschmiedemaschine,TP
 Bördelmaschine,TP
Walzmaschine,TP
 Verschließmaschine,TP
 Blechwalze,TP
 Scherma-schine,TP
 Gewindeerzeugungsmaschine,TP
 Rohrziehmaschine,TP
Drahtziehmaschine,TP
"Transformierobjekt für Strahlung durch
Photosynthese",TR
Pflanze,TR
Busch,TR
 Ranker,TR
 Blume,TR
 Gras,TR
 Kraut,TR
 Strauch,TR
 Baum,TR
 Gemüse-pflanze,TR
Objekt zur Verortung anderer Objekte,U
Halteobjekt,U
"Halteobjekt fixiert in einer bestimmten
Position",UA
Positionierobjekt,UA
Latte,UA
 Fahrradständer,UA
 Kabelzugang,UA
 Kabeleingang,UA
 Kabel-führung,UA
 Spannfutter,UA
 Klemme,UA
 Anschlag,UA
 Spalier,UA
 Flansch,UA
Isolator,UA
 Backe,UA
 Drehfutter,UA
 Gitter,UA
 Leuchtkörper,UA
 Leuchte,UA
Schienenmessgerät,UA
 Einsatz,UA
 Treppenbalken,UA
 Balken,UA
 Spur-messgerät,UA
 Fahrzeugständer,UA
Halteobjekt trägt,UB
Trageobjekt,UB
Kabelkanal,UB
 Kabelleiter,UB
 Kabelgestell,UB
 Kabeltrasse,UB
 Laufsteg,UB
Kabelführung,UB
 Kabelrohr,UB
 Leitungsmast,UB
 Gerätestützstruktur,UB
Bügel,UB
 Aufhängevorrichtung,UB
 Mast,UB
 Operationstisch,UB
 Plattform,UB
Stange,UB
 Portal,UB
 Pfosten,UB
 Sprosse,UB
 Stufe,UB
 Gurt,UB
 Fernleitungsmast,UB
Halteklammer,UB
 Tisch,UB
 Tritt,UB
Halteobjekt formt eine Stützstruktur,UC
Umschließobjekt,UC
Schrank,UC
 Abzugshaube,UC
 Kabine,UC
 Schaltschrank,UC
 elektrischeSchalttafel,UC
 Pflanzenerde,UC
 Schlauchtrommelkasten,UC
 Sensor-gehäuse,UC
 Sicherheitsschrank,UC
 Wartungskammer,UC
 Server-Gestell,UC
Untergestell,UC
"Halteobjekt fixiert in einer bestimmten
Position",UL
Strukturstützobjekt,UL
Stützpfeiler,UL
 Aggregatunterplatte,UL
 Bogen,UL
 Baluster,UL
 Basismaterial,UL
Tragschicht,UL
 Basisschicht,UL
 Balken,UL
 Trägerplatte,UL
 Bilgenplatte,UL
Verbindungsschicht,UL
 Block,UL
 Ziegelstein,UL
 Brückendeck,UL
 Brücken-pylon,UL
 Gebäudefundament,UL
 Stützpfeiler,UL
 Stützmauer,UL
 Säule,UL
Druckelement,UL
 Betonplatte,UL
 Betonelement,UL
 Konsole,UL
 Kragstein,UL
Widerlager,UL
 Deck,UL
 Dom,UL
 Erdanker,UL
 Gegenwand,UL
 Bodenplatte,UL
Fundamentbalken,UL
 Fundamentblock,UL
 Fundamentsäule,UL
 Funda-mentplatte,UL
 Fundamentwand,UL
 Schwergewichtsmauer,UL
 Boden-verankerung,UL
 Lochdeck,UL
 Rumpfplatte,UL
 Lamelle,UL
 tragende Wand,UL
Maschinenfundament,UL
 Pfahl,UL
 Pfeiler,UL
 Rohrbrücke,UL
 Platte,UL
 Sockel,UL
Druckverteiler,UL
 Wandhalteplatte,UL
 Felsanker,UL
 Seil,UL
 Spundwand,UL
Rohblock,UL
 Rohplatte,UL
 Stein,UL
 tragende Schale,UL
 Strebe,UL
 Auflagekeil,UL
Zugstrebe,UL
 Zuganker,UL
 Gewölbe,UL
 Wand,UL
 Wandplatte,UL
Halteobjekt verstärkt,UM
Verstärkungsobjekt,UM
Betoneinspritzung,UM
 Betonauskleidung,UM
 Betonspritzen,UM
 Diagonal-verbindung,UM
 Erdeinbettung,UM
 horizontale Schiene,UM
 Kalksäule,UM
 Bür-gersteigverstärkung,UM
 Stahlverstärkungen,UM
 Verstärkungsbalken,UM
verstärkte Masseschicht,UM
 Verstärkungsmaterial,UM
 Verstärkungs-matte,UM
 Verstärkungspfeiler,UM
 Sicherheitsschließblech,UM
 Vertikaldrän,UM
Spleißung,UM
 Spleißplatte,UM
 Stabilisierkabel,UM
 Versteifung,UM
"Halteobjekt fixiert in einer bestimmten
Position",UN
Umrahmungsobjekt,UN
Türrahmen,UN
 fester Rahmen,UN
 Fenstersprosse,UN
 Fenstersprossen-rahmen,UN
 beweglicher Rahmen,UN
 Türschwelle,UN
 Fensterrahmen,UN
Fensterscheibenrahmen,UN
Halteobjekt verbindet,UP
Fugenobjekt,UP
Kugellager,UP
 Lager,UP
 Zement,UP
 chemische Verbindung,UP
 Scharnier,UP
Rollenlager,UP
 Schiebeelement,UP
 Strukturverbindung,UP
Halteobjekt macht fest,UQ
Befestigungsobjekt,UQ
Ankerplatte,UQ
 Bolzen,UQ
 chemische Bindung,UQ
 elastische Lagerung,UQ
Dehnungsfuge,UQ
 Bewegungsfuge,UQ
 Befestigungsschelle,UQ
 Nagel,UQ
Mutter,UQ
 Schienenbefestigung,UQ
 Niete,UQ
 Schraube,UQ
"Halteobjekt trägt durch Angleichen, Auffüllen",UT
Ausgleichungsobjekt,UT
Baugrube,UT
 Füllen,UT
 Unterbau,UT
"Halteobjekt trägt durch bestehenden Grund
und Boden",UU
Vorhandener Boden,UU
Bindiger Boden,UU
 Füllmaterial,UU
 Reibboden,UU
 organischer Boden,UU
Stein,UU
"Objekt zum Leiten von einem Ort zu einem
anderen",W
Leitobjekt,W
"Leitobjekt für elektrische
Hochspannungsenergie",WB
Hochspannungsenergie-Leitobjekt,WB
Hochspannungs-Sammelschiene,WB
 Hochspannungsdurchführung,WB
Hochspannungskabel,WB
 Hochspannungsdraht,WB
"Leitobjekt für elektrische
Niederspannungsenergie",WD
Niederspannungsenergie-Leitobjekt,WD
Niederspannungs-Sammelschiene,WD
 Niederspannungsdurch-führung,WD
 Niederspannungskabel,WD
 Niederspannungsdraht,WD
Leitobjekt für ein Referenzpotential,WE
Referenzpotential-Leitobjekt,WE
Erdungskabel,WE
 Erdungsschiene,WE
 Potentialausgleichskabel,WE
 Poten-tialausgleichsschiene,WE
Leitobjekt für elektrische Signale,WG
Elektrisches Signalleitobjekt,WG
Steuerkabel,WG
 Datenbus,WG
 Datenkabel,WG
 Durchführung für elektrischeSignale,WG
Leitobjekt für Licht,WH
Lichtleitobjekt,WH
Glasfaserkabel,WH
 Linse,WH
 Lichtreflektor,WH
 Spiegel,WH
 optisches Licht-wellenleiterkabel,WH
 optischer Lichtleiter,WH
 optischer Wellenleiter,WH
Leitobjekt für Schall,WJ
Schallleitobjekt,WJ
Schallreflektor,WJ
"Leitobjekt von festen Stoffen in offener
Umschließung",WL
Feststoff-Leitobjekt,WL
Rinne,WL
 geneigte Ebene,WL
 Rollentisch,WL
 Rohrkettenförderer,WL
"Leitobjekt für Flüssigkeitsdurchfluss in
offener Umschließung",WM
"Leitobjekt in offener
Umschließung",WM
Belüftungsschicht,WM
 Belüftungsrohr,WM
 Belüftungsschacht,WM
 Ablass-schicht,WM
 Ablassrohr,WM
 Flüssigkeitsablassblech,WM
 Wassernase,WM
Regenrinne,WM
 Regentraufe,WM
 Rinne,WM
 Tropfrinne,WM
 Versickerungs-kammer,WM
 Versickerungsebene,WM
 Versickerungsrohr,WM
Radonschacht,WM
 Dachrinne,WM
"Leitobjekt für Feststofffluss in geschlossener
Umschließung",WP
"Leitobjekt in geschlossener
Umschließung",WP
Schlot,WP
 Kanal,WP
 Schlauch,WP
 Rohr,WP
Leitobjekt für mechanische Energie,WQ
"Objekt zum Leiten von
mechanischer Energie",WQ
Achse,WQ
 Kette,WQ
 Zahnrad,WQ
 Antriebsachse,WQ
 Antriebsriemen,WQ
 Antriebs-kette,WQ
 Antriebsverbindung,WQ
 Getrieberad,WQ
 Hydraulikschlauch,WQ
Hydraulikrohr,WQ
 bewegliche Leitung,WQ
 Pneumatikschlauch,WQ
Pneumatikrohr,WQ
 Zahnstange,WQ
 V-Riemen,WQ
 Rad,WQ
Leitobjekt für gleisgebundene Objekte,WR
Gleisobjekt,WR
Gleisbahn,WR
 Schiene,WR
 Gleisübergang,WR
Leitobjekt für Wärmeenergie,WV
"Objekt zum Leiten von
Wärmeenergie",WV
Wärmesenke,WV
 Wärmeleiter,WV
 Wärmepaste,WV
Leitobjekt mit mehreren Flussarten,WZ
Mehrfachfluss-Leitobjekt,WZ
Versorgungsleitung,WZ
 Versorgungsleitungskabel,WZ
"Objekt zur Bereitstellung einer Schnittstelle
zu einem anderen Objekt",X
Schnittstellenobjekt,X
"Schnittstellenobjekt für
Hochspannungsstrom",XB
Hochspannungs-Verbindungsobjekt,XB
Klemme,XB
 Kabelkopf,XB
 Hochspannungskabelverbindung,XB
 Hoch-spannungsstecker,XB
 Hochspannungssteckdose,XB
 Hochspannungs-klemme,XB
 Hochspannungsanschlusskasten,XB
 Anschlussverteiler,XB
"Schnittstellenobjekt für
Niederspannungsstrom",XD
Niederspannungs-Verbindungsobjekt,XD
Elektrischer Anschlusskasten,XD
Niederspannungskabelverbindung,XD
 Niederspannungsstecker,XD
Niederspannungssteckdose,XD
 Niederspannungsklemme,XD
 Stecker,XD
Stromverteiler,XD
 Netzsteckdose,XD
 Anschlussklemme,XD
Anschlusskasten,XD
"Schnittstellenobjekt für Erd- oder
Bezugspotential",XE
Potentialverbindungsobjekt,XE
Stromabnehmer,XE
 Erdungselektrode,XE
 FB-Anschlusspunkt,XE
 FE-An-schlusspunkt,XE
 Funktionsverbindungsanschlusspunkt,XE
 Funktions-erdungsanschlusspunkt,XE
 PB-Anschlusspunkt,XE
 PE-Anschlusspunkt,XE
Schutzverbindungsanschlusspunkt,XE
 Schutzleiteranschlusspunkt,XE
Schutzerdungsleiteranschlusspunkt,XE
Schnittstellenobjekt für elektrische Signale,XG
"Elektrisches
Signalverbindungsobjekt",XG
Anschlussverteiler,XG
 Rangierfeld,XG
 Signalverteiler,XG
 Signalsteckdose,XG
Klemme,XG
Schnittstellenobjekt für optische Fasern,XH
Lichtverbindungsobjekt,XH
Feste Lichtfasersteckdose,XH
 optischer Stecker,XH
 optische Steckdose,XH
"Schnittstellenobjekt zum Ansammeln und
Weiterleiten in einen Durchfluss",XK
Sammelschnittstellenobjekt,XK
Bidet,XK
 Tropfbecher,XK
 Bodenablauf,XK
 Waschbecken,XK
 Toilette,XK
 Urinal,XK
WC,XK
"Schnittstellenobjekt für Materialfluss in
versiegeltem Objekt",XM
"Versiegeltes
Durchflussverbindungsobjekt",XM
Kammer,XM
 Löschschlauchkupplung,XM
 Klebverbindung,XM
 Schlauch-kupplung,XM
 Schlauchanschlussstück,XM
 Schlauchflansch,XM
 Rohrkupp-lung,XM
 Rohranschlussstück,XM
 Rohrflansch,XM
 Druckverbindung,XM
 Hülse,XM
Lötanschlussstück,XM
"Schnittstellenobjekt für kontinuierliche
Übertragung von mechanischer Kraft",XN
Fest angeschlossener Koppler,XN
Schalenkupplung,XN
 Puffer-und-Ketten-Kupplung,XN
 Kardangelenk,XN
Linien-und-Bolzenkupplung,XN
 Flanschkoppler,XN
 flexible Kupplung,XN
Hardy-Spicer-Gelenk,XN
 Hirth-Koppler,XN
 Hirth-Kupplung,XN
 Hirth-Gelenk,XN
 Hooke-Gelenk,XN
 Hülsenkupplung,XN
 geteilte Muffenkupplung,XN
U-Gelenk,XN
 Universalkupplung,XN
"Schnittstellenobjekt für ununterbrochene
Übertragung von mechanischer Kraft",XP
"Nicht fest angeschlossener
Koppler",XP
Fliehkraftkupplung,XP
 Flüssigkeitskupplung,XP
 Freilaufschaltung,XP
Reibkupplung,XP
 Hydraulikkupplung,XP
 Magnetkopf-Hubvorrichtung,XP
Magnethub,XP
 Freilaufkupplung,XP
"Schnittstellenobjekt zur Verbindung mehrerer
Ebenen",XS
Ebenenverbindungsobjekt,XS
Feuerwehr-Rutschstange,XS
 Treppenlauf,XS
 Laufsteg,XS
 Leiter,XS
 Treppen-absatz,XS
 Rampe,XS
"Schnittstellenobjekt zum Verbinden von
Räumen",XT
Raumverbindungsobjekt,XT
Schalung,XT
 Hohlraum,XT
 Loch,XT
 Öffnung,XT
Schnittstellenobjekt mit mehreren Flussarten,XZ
Mehrfachfluss-Verbindungs-objekt,XZ
Mehrfachverbinder,XZ
Objekt zur Erfassung und Darstellung von Informationen,B
Erkennungsobjekt,B
Erkennungsobjekt für elektrisches Potential,BA
"Objekt zur Erkennung von
elektrischem Potential",BA
"Objekt zur Erkennung von elektrischem Potential, mit
Skalarausgang",BAA
Spannungswandler,BAA
Kopplungskondensator,BAA
Spannungswandler fürMesszwecke,BAA
"Objekt zur Erkennung von elektrischem Potential, mit
Booleschem Ausgang",BAB
Spannungsrelais,BAB
Messspannungsrelais,BAB
Erkennungsobjekt für Widerstand oder Leitfähigkeit,BB
"Objekt zur Erkennung von
Widerstand",BB
"Widerstanderkennungsobjekt für elektrischen Stromfluss, mit
Skalarausgang",BBA
"Messgerät für elektrischen
Widerstand",BBA
"Widerstanderkennungsobjekt für elektrischen Stromfluss, mit
Booleschem Ausgang",BBB
Detektor für elektrischen Widerstand,BBB
"Widerstanderkennungsobjekt für Wärmefluss, mit
Skalarausgang",BBC
"Messgerät für thermischen
Widerstand",BBC
"Widerstanderkennungsobjekt für Wärmefluss, mit Booleschem
Ausgang",BBD
"Detektor für thermischen
Widerstand",BBD
Erkennungsobjekt für elektrischen Strom,BC
"Objekt zur Erkennung von
elektrischem Strom",BC
"Objekt zur Erkennung von elektrischem Strom, mit
Skalarausgang",BCA
Stromwandler,BCA
Messstromwandler,BCA
"Objekt zur Erkennung von elektrischem Strom, mit Booleschem
Ausgang",BCB
Stromrelais,BCB
elektronisches Überlastrelais,BCB
Messstromrelais,BCB
 Überlastrelais,BCB
Erkennungsobjekt für Dichte,BD
Dichteerkennungsobjekt,BD
"Dichteerkennungsobjekt, mit Skalarausgang",BDA
Dichtemesswertgeber,BDA
Senkwaage,BDA
 Dichtesensor,BDA
Hydrometer,BDA
"Dichteerkennungsobjekt, mit Booleschem Ausgang",BDB
Dichteschalter,BDB
Dichtesensor,BDB
Erkennungsobjekt für Spannungsfeld,BE
Spannungsfelderkennungsobjekt,BE
"Felderkennungsobjekt für elektrische Felder, mit Skalarausgang",BEA
Elektrischer Feldsensor,BEA
"Felderkennungsobjekt für elektrische Felder, mit Booleschem
Ausgang",BEB
Elektrischer Felddetektor,BEB
"Felderkennungsobjekt für Magnetfelder, mit Skalarausgang",BEC
Magnetfeldsensor,BEC
"Felderkennungsobjekt für Magnetfelder, mit Booleschem
Ausgang",BED
Magnetfelddetektor,BED
Reedrelais,BED
 Reedschalter,BED
Erkennungsobjekt für Durchfluss,BF
Durchflusserkennungsobjekt,BF
"Durchflusserkennungsobjekt, mit Skalarausgang",BFA
Durchflussmesswertgeber,BFA
Durchflusssensor,BFA
 Gasflusssensor,BFA
Flüssigkeitsflusssensor,BFA
 Feststoff-flusssensor,BFA
 Wasserflusssensor,BFA
"Durchflusserkennungsobjekt, mit Booleschem Ausgang",BFB
Durchflussschalter,BFB
Gasflussschalter,BFB
 Feststofffluss-schalter,BFB
Erkennungsobjekt für räumliche Dimension und/oder Position,BG
"Objekt zur Erkennung von
physikalischen Dimensionen",BG
"Objekt zur Erkennung physikalischer Dimensionen der Position,
mit Skalarausgang",BGA
Positionsmesswertgeber,BGA
Positionssensor,BGA
 Präsenzdetektor,BGA
Radar,BGA
 Windrichtungssensor,BGA
"Objekt zur Erkennung physikalischer Dimensionen der Position,
mit Booleschem Ausgang",BGB
Positionsschalter,BGB
Bewegungsdetektor,BGB
 Bewegungs-sensor (PIR),BGB
 Positionssensor,BGB
Präsenzdetektor,BGB
"Objekt zur Erkennung physikalischer Dimensionen für Längen,
mit Skalarausgang",BGC
Distanzmesswertgeber,BGC
Laserdistanzsensor,BGC
 Positions-sensor,BGC
 Sichtbarkeitssensor,BGC
"Objekt zur Erkennung physikalischer Dimensionen für Längen,
mit Booleschem Ausgang",BGD
Distanzschalter,BGD
Laserdistanzsensor,BGD
 Laserdistanz-Erkennungsschalter,BGD
 Bewegungs-detektor,BGD
 Bewegungssensor (PIR),BGD
Positionssensor,BGD
 Präsenzdetektor,BGD
Sichtbarkeitsdetektor,BGD
"Objekt zur Erkennung physikalischer Dimensionen für Winkel
oder Richtungen, mit Skalarausgang",BGE
Winkelmesswertgeber,BGE
Ausrichtungssensor,BGE
 Anschlag,BGE
Positionssensor,BGE
 Positions-messwertgeber,BGE
 Drehgeber,BGE
Anzeigeeinrichtung,BGE
 Windrich-tungsanzeige,BGE
"Objekt zur Erkennung physikalischer Dimensionen für Winkel
oder Richtungen, mit Booleschem Ausgang",BGF
Winkelschalter,BGF
Ausrichtungsschwellendetektor,BGF
Bewegungsdetektor,BGF
